Agent,Arrival time,Answer time,Completion time,Release type,Time in queue,Service time,No of Agents,Queue + Service times
1,9:05:29 AM,9:05:46 AM,9:11:00 AM,N,0:00:17,0:05:14,3,0:05:31
2,9:09:12 AM,9:09:18 AM,9:11:07 AM,N,0:00:06,0:01:49,3,0:01:55
3,9:13:30 AM,9:14:00 AM,9:15:33 AM,N,0:00:30,0:01:33,3,0:02:03
1,9:13:59 AM,9:14:03 AM,9:19:15 AM,N,0:00:04,0:05:12,3,0:05:16
3,9:19:00 AM,9:19:08 AM,9:19:38 AM,N,0:00:08,0:00:30,3,0:00:38
4,9:19:38 AM,9:19:43 AM,9:20:27 AM,N,0:00:05,0:00:44,3,0:00:49
1,9:20:52 AM,9:21:00 AM,9:22:33 AM,N,0:00:08,0:01:33,3,0:01:41
4,9:23:37 AM,9:23:40 AM,9:27:25 AM,N,0:00:03,0:03:45,3,0:03:48
3,9:24:12 AM,9:24:17 AM,9:25:37 AM,N,0:00:05,0:01:20,3,0:01:25
1,9:26:38 AM,9:26:46 AM,9:29:09 AM,N,0:00:08,0:02:23,3,0:02:31
,9:29:53 AM,9:30:38 AM,9:31:25 AM,N,0:00:45,0:00:47,3,0:01:31
,9:33:57 AM,9:34:22 AM,9:38:30 AM,N,0:00:25,0:04:08,3,0:04:33
,9:36:58 AM,9:37:02 AM,9:40:33 AM,N,0:00:04,0:03:31,4,0:03:35
,9:37:03 AM,9:37:10 AM,9:39:16 AM,N,0:00:07,0:02:06,4,0:02:13
,9:38:37 AM,9:38:41 AM,9:40:30 AM,N,0:00:04,0:01:50,4,0:01:53
,9:43:14 AM,9:43:19 AM,9:44:15 AM,N,0:00:05,0:00:56,4,0:01:01
,9:44:28 AM,9:44:51 AM,9:45:41 AM,N,0:00:23,0:00:50,4,0:01:13
,9:48:41 AM,9:48:43 AM,9:51:19 AM,N,0:00:02,0:02:36,4,0:02:38
,9:48:43 AM,9:48:49 AM,9:51:09 AM,N,0:00:06,0:02:20,4,0:02:26
,9:52:02 AM,9:52:23 AM,9:54:25 AM,N,0:00:21,0:02:02,4,0:02:23
,9:53:01 AM,9:54:54 AM,9:56:30 AM,N,0:01:53,0:01:36,4,0:03:29
,9:56:33 AM,9:57:38 AM,10:01:09 AM,N,0:01:05,0:03:31,4,0:04:36
,9:59:30 AM,9:59:46 AM,10:01:46 AM,N,0:00:16,0:02:00,4,0:02:16
,10:00:47 AM,10:01:37 AM,10:08:01 AM,N,0:00:50,0:06:24,4,0:07:14
,10:03:57 AM,10:04:05 AM,10:04:39 AM,N,0:00:08,0:00:34,4,0:00:42
,10:04:51 AM,10:04:59 AM,10:07:05 AM,N,0:00:08,0:02:06,4,0:02:14
,10:05:53 AM,10:09:16 AM,10:12:07 AM,N,0:03:23,0:02:51,4,0:06:14
